bodypartused,playerId,y,x,matchId,teamId,matchPeriod,eventSec,eventId,counter,goal,shotangle,distance_to_goal
402,7888,31,54,2499727,1644,0,2160.292724,178083362,0,0,7.709477693,57.25451947
401,120353,66,90,2499727,1612,0,2260.263279,178083445,0,0,18.20848447,17.54536976
403,25747,46,88,2499727,1612,0,2840.723804,178083623,0,0,29.7448813,14.75127113
401,120353,65,87,2499727,1612,1,189.636685,178083690,0,0,18.5755426,19.68146336
403,14870,41,94,2499727,1612,1,1144.318014,178083966,0,0,33.30228475,10.18233765
403,25393,59,93,2499727,1612,1,1460.104668,178084043,0,0,32.27564431,11.06345335
401,120353,65,85,2499727,1612,1,1535.024969,178084082,0,0,17.67105036,21.63330765
401,92899,23,75,2499727,1644,1,1800.440142,178084175,0,0,10.07650381,36.96701232
402,116,49,87,2499727,1612,1,2403.092227,178084386,0,0,28.69490438,15.62049935
401,21160,40,86,2499727,1644,1,2843.389466,178084495,0,0,22.14518004,18.60752536
403,377071,48,90,2499727,1644,1,2965.918202,178084519,0,0,36.32682595,12.10619676
402,116,46,86,2499727,1612,1,3143.881792,178084532,0,0,25.92490151,17.10204666
402,8958,25,80,2499728,1627,0,143.210221,178216601,0,0,11.30993247,31.2409987
402,9414,75,89,2499728,1627,0,457.003003,178216643,0,0,10.71183753,23.96330528
402,8958,38,97,2499728,1627,0,532.906187,178216654,0,0,17.9087463,10.25280449
402,8958,79,88,2499728,1627,0,793.867499,178216690,0,0,8.972626615,27.30567707
403,8958,47,97,2499728,1627,0,851.501175,178216693,0,0,84.60473543,4.326661531
401,9414,76,74,2499728,1627,0,1333.529955,178216791,0,0,10.17944248,37.49773326
402,8958,31,87,2499728,1627,0,1359.563193,178216810,0,0,15.22973289,21.78072542
402,8530,22,90,2499728,1627,0,1515.765587,178216844,0,0,8.66738718,25.41180828
402,119951,58,84,2499728,1627,0,1989.653038,179445156,0,0,21.31791228,20.23857703
402,86308,56,99,2499728,1627,0,2384.886225,179445157,0,0,48.54476646,4.947726751
401,8351,49,74,2499728,1659,0,2680.680342,178217462,0,0,14.60217585,31.21025473
401,9283,58,72,2499728,1659,1,275.188713,178217572,0,0,13.11292444,34.20409332
403,119951,54,86,2499728,1627,1,447.220996,178217276,0,0,25.92490151,17.10204666
403,86308,38,96,2499728,1627,1,648.578408,178217341,0,0,21.16125982,10.73312629
